Price,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMT,JNJ,MSFT,PFE,PLD,TGT,WMT,AAPL,AMT,JNJ,MSFT,PFE,PLD,TGT,WMT
Date,,,,,,,,,,,,,,,,
2024-05-16,189.2041015625,190.2485809326172,149.4844207763672,418.5538330078125,27.624666213989258,108.08967590332031,156.92068481445312,63.68696212768555,52845200,2616900,7591000,17530100,40077800,4232400,5232900,60545600
2024-05-17,189.2340087890625,189.82894897460938,149.83322143554688,417.7783203125,27.357206344604492,108.7823715209961,156.41275024414062,64.32373046875,41282900,2157300,6521800,15352200,26106400,3260600,4005500,29330400
2024-05-20,190.4000701904297,187.14512634277344,147.75274658203125,422.878662109375,27.252134323120117,109.3189697265625,153.0721435546875,63.856101989746094,44361300,1733500,7742300,16272100,22423300,3941400,4429200,15001400
2024-05-21,191.70570373535156,189.45809936523438,147.7234649658203,426.5572509765625,27.280790328979492,107.90431213378906,152.1637420654297,64.82120513916016,42309400,1527300,5492400,21453300,28119900,2524900,6291000,17131700
2024-05-22,190.26055908203125,186.7352294921875,149.93089294433594,428.0287170410156,28.274208068847656,106.55794525146484,139.94415283203125,64.92070007324219,34648500,1681100,6609800,18073700,46987500,3158100,18724000,14879400
2024-05-23,186.2540283203125,182.1092987060547,146.21925354003906,424.529052734375,27.40496826171875,103.06520080566406,141.05767822265625,64.51276397705078,51005900,1768800,8000400,17211700,42031300,4364600,6661100,16222900
2024-05-24,189.3436279296875,181.45541381835938,143.552734375,427.6707763671875,27.586456298828125,102.19689178466797,141.858642578125,65.050048828125,36294600,1257900,9517000,11845800,22576300,3107600,3549300,11793800
2024-05-28,189.35360717773438,180.5770721435547,141.02296447753906,427.8298645019531,27.03243637084961,102.4407958984375,143.68524169921875,64.71176147460938,52280100,1828300,10499800,15718000,32371200,4857000,4344300,13349600
2024-05-29,189.652587890625,180.860107421875,141.08155822753906,426.6865234375,26.57393455505371,102.4407958984375,144.3103790283203,64.59236907958984,53068000,1977700,8263800,15517100,24241700,2945800,3038500,11538600
2024-05-30,190.6492462158203,186.18870544433594,141.9020233154297,412.2704162597656,26.93691635131836,104.94816589355469,146.39093017578125,64.5625228881836,49947900,2850400,8491100,28424800,23330700,4325700,4239400,13053500
2024-05-31,191.6060333251953,191.02935791015625,143.25970458984375,412.7277526855469,27.376310348510742,107.79698944091797,152.53492736816406,65.42813110351562,75158300,7331900,14621200,47995300,78290100,14977800,7501000,27632200
